Auteur,nb_comments,nb_likes,texte,date,nb_partages,taux d'engagement
Cabral LIBII Officiel,1 ,"14
14",,19 juillet,,
Cabral LIBII Officiel,16 ,"115
115",,19 juillet,2 ,
Cabral LIBII Officiel,45 ,"183
183","I said it, I will be people’s choice or I won’t be running for the presidency. Why are some people wondering? Is it strange to totally depend on our people? Is it a shame to request people contribution? We, 11 Millions Citizens walk together with the people since May 2017. It is a unique experience and it is the beginning of an exclusive adventure. To those who laugh at us, people’s commitment will be your response.
------------""---------------------""-------------------------…",18 juillet,10 ,
Cabral LIBII Officiel,45 ,"310
310",Grâce à votre soutien. Je garde la foi!,17 juillet,12 ,
Cabral LIBII Officiel,11 ,"124
124","Avec le plan de capitalisation des anciens talents sportifs camerounais, nous aurons nos ""Didier Dechamps""! Bravo à l""équipe de France.",15 juillet,5 ,
Cabral LIBII Officiel,16 ,"143
143","Le sport ne cessera jamais de nous enseigner. Que dire de la combativité croate en Russie. Faut toujours y croire! Toujours tout donner! Seule la foi totale en ce en quoi on croit, conditionne l""issue du combat...",11 juillet,5 ,
Cabral LIBII Officiel,19 ,"131
131","Au moment où le Cameroun traverse une crise meurtrière à laquelle nous tardons à trouver une issue dans les régions anglophones, des images cruelles mettant en scène des exécutions sommaires d""humains, circulent dans les réseaux sociaux entraînant émoi et indignation. Ces images qui portent atteinte à l""image de notre armée qui lutte pourtant si courageusement contre l""organisation terroriste Boko haram, obligent de la part des autorités compétentes, des clarifications immédiates d""authentification. Du reste, de tels agissements s""inscrivent dans le registre d""une inhumanité que je condamne sans réserve. C""est aussi le lieu de dire toute mon indignation à l""endroit de ceux qui s""exercent au quotidien à façonner de faux montages et informations dans le but macabre de salir gratuitement.
Cabral Libii",11 juillet,10 ,
Cabral LIBII Officiel,34 ,"215
215","Je suis comme beaucoup d""entre vous. Seul, je ne peux y arriver. Je n""en ai pas les moyens. Mais ensemble, nous allons confondre ceux qui nous méprisent.
C""est un défi collectif. Nous avons 5 jours pour le relever!
Aidez-moi!
Que Dieu fasse Grâce !
Merci",10 juillet,20 ,
Cabral LIBII Officiel,68 ,"346
346",,9 juillet,21 ,
Cabral LIBII Officiel,26 ,"189
189","Je serai le Président qui démystifiera l""accès à la propriété, car la propriété c""est le Capital vivant : Le titre foncier sera gratuit au profit de toutes les familles camerounaises jouissant de droits coutumiers sur des terres.",8 juillet,16 ,
Cabral LIBII Officiel,32 ,"127
127",A mes camarades citoyens.,5 juillet,23 ,
Cabral LIBII Officiel,46 ,"179
179","J""ai écouté l""interview d""Emmanuel Macron sur la crise anglophone. Il a certainement lu notre projet de société en parlant de regionalisme comme réforme absolument nécessaire à l""apaisement de la crise... Si Paul Biya nous avait aussi lu, il n""aurait pas attendu le conseil d""Emmanuel Macron.
La solution est entre nos propres mains chers citoyens camarades. Votre aide et votre contribution feront triompher la solution.",5 juillet,16 ,
Cabral LIBII Officiel,31 ,"133
133","Pendant des années je luttais aux côtés du peuple. J""ai porté publiquement et mediatiquement des causes réputées perdues, parfois au prix de ma liberté, de mes études, de ma carrière ou de la quiétude des miens. Où étaient ceux-là qui feignent de combattre de ce système qui a plongé notre pays dans la misère ? Ils en étaient des membres dévoués et dociles!
Désormais j""exige du respect! Pour moi même et ces compatriotes courageux qui m""accompagnent dans cette lutte pour sortir les camerounais de désarroi. Que ceux qui ont des comptes à régler avec leurs (anciens) partenaires, ne nous confondent pas!",3 juillet,11 ,
Cabral LIBII Officiel,25 ,"117
117","I- L’électricité : 500 MW par an au moins.
C’est sans doute la ressource infrastructurelle n°1. La construction d’une civilisation, depuis l’Egypte pharaonique jusqu’à l’hyperpuissance américaine contemporaine, a toujours nécessité une quantité importante d’énergie rigoureusement proportionnelle aux matières à transformer. Mais si l’énergie était autrefois produite par des esclaves et des bêtes de somme, l’électricité en est devenue aujourd’hui la principale forme.
La constr…",30 juin,13 ,
Cabral LIBII Officiel,25 ,"92
92","De retour du terrain, je découvre une actualité qui défraie la chronique. Qu""est-ce qui fait problème au juste? La nature des destinataires de l""appui ou la nature de l""appui?
Les USA accordent pourtant régulièrement au Cameroun et aux camerounais à travers l""Etat et autres organisations, des appuis économiques, sociaux, militaires et politiques...
Cela dit, c""est le peuple qui par son vote donne le pouvoir. Et ce peuple a le droit de réclamer transparence au sujet de ce qui se tramerait autour de ce sur quoi sa volonté souveraine seule prime...
11 Millions de Citoyens compte sur les contributions de ses memebres (VOIR INDICATIONS SUR LE FLYER CI-DESSOUS)
Cabral Libii",27 juin,14 ,
Cabral LIBII Officiel,55 ,"214
214","Gloire à Dieu! Je viens de rallier Bamenda rentrant de Batibo. Le compatriote qui nous conduisait natif de la localité, a dû prendre une voie détournée dans la forêt pour le chemin retour. A 100 mètres de nous, ça tirait sans cesse. Nous étions obligés de nous réfugier avec d""autres compatriotes dans la maison, toutes portes closes. Je l""avoue, je n""avais jamais vécu une situation aussi stressante.
Mes chers compatriotes je vous assure, il ne s""agit pas de francophones cont…",24 juin,25 ,
Cabral LIBII Officiel,15 ,"91
91","11 Millions de Citoyens sera une force financière qui va rappeler que c""est le peuple qui a le pouvoir. 1100frs Cfa: contribution de chacun",24 juin,2 ,
Cabral LIBII Officiel,11 ,"95
95","Ce n""est peut-être qu""une coïncidence, mais ce que j""ai vécu de près à Bamenda ce 22 juin 2018 est très très troublant... paix aux âmes otées à la vie, courage aux populations désemparées, courage aux opérateurs économiques désespérés, courage aux forces de défense, courage à nos camarades du Mouvement qui essaient dans un environnement si difficile, si controversé, de maintenir la flamme democratique.
Vivement que tous les camerounais se lèvent pour sortir le pays de la dérive terroriste et de l""impasse sécuritaire en dotant notre Etat d""un leadership politique humain, sensible, compétent, rassembleur et patriotique en cette année 2018
Cabral Libii",23 juin,11 ,
Cabral LIBII Officiel,17 ,"117
117",Nos membres peuvent désormais verser leurs contributions à Express Union. Le contrat est signé. Nous sommes légalistes! Contribuons à partir de 1100 fcfa,23 juin,11 ,
Cabral LIBII Officiel,2 ,"74
74","Merci pour l""accueil de mes camarades 11 Millions de Citoyens à Bamenda.",22 juin,5 ,
Cabral LIBII Officiel,5 ,"59
59","Le corps électoral de la présidentielle sera convoqué entre aujourd""hui et dans 9 jours.",22 juin,6 ,
Cabral LIBII Officiel,13 ,"101
101",OK,20 juin,11 ,
Cabral LIBII Officiel,19 ,"100
100","Le 31 décembre 2017, le Chef de l""État a rassuré que tous les scrutins se tiendraient en 2018. Au renfort de cela, une rallonge budgétaire de la ligne électorale a été faite par ordonnance, passant de 30 milliards à 50 milliards de l""argent du contribuable camerounais. J""exige fermement que des explications soient données aux camerounais.
Cabral Libii",20 juin,15 ,
Cabral LIBII Officiel,36 ,"160
160","Je viens de regarder toutes les vidéos de mes sorties publiques dans le Nyong et Kelle et dans d""autres départements du Cameroun (nous avons systématisé l""archivage). Je n""ai vu un seul fragment où, même de facon allusive, je tiens des propos tribalistes. Le contraire m""aurait étonné, tellement j""ai cette bassesse en abjection de part mon education, ma vision du Cameroun et la ligne idéologique du Mouvement dont je suis le leader...
Néanmoins ceux qui me prêtent de tels propos, pourraient fournir les bandes vidéos ou sonores au cas où je me serais égaré dans une vie parallèle...
Cabral Libii",19 juin,10 ,
Cabral LIBII Officiel,21 ,"86
86","Je suis interpellé depuis quelques jours dans la rue par des compatriotes qui me disent qu""ils ont lu un texte sur facebook dans lequel je dirais que faute de coalition, je soutiendrais le parti au pouvoir.
Aidez-moi à trouver ledit texte au cas où je l""aurais publié sans m""en rendre compte.
Cabral Libii",18 juin,2 ,
Cabral LIBII Officiel,5 ,"33
33","Je suis interpellé depuis quelques jours dans la rue par des compatriotes qui me disent qu""ils ont lu un texte sur facebook dans lequel je dirais que faute de coalition, je soutiendrais le parti au pouvoir.
Aidez-moi à trouver ledit texte au cas où je l""aurais publié sans m""en rendre compte.
Cabral Libii",18 juin,,
Cabral LIBII Officiel,4 ,"71
71","Je ne suis toujours pas convaincu de la nécessité de prorogation du mandat des Députés... En République de telles décisions doivent être discutées par les différents acteurs politiques. L""éthique démocratique veut en outre, que de telles de décisions ne soient pas prises par un des concurrent à la ""dernière minute"". Libii heureusement, rien n""est confirmé.
Cabral Libii",16 juin,3 ,
Cabral LIBII Officiel,10 ,"57
57","Egypte...Maroc...
Néanmoins, Vive l""Afrique!",15 juin,,
Cabral LIBII Officiel,25 ,"114
114","I- Un potentiel foncier sous-exploité: levier principal de notre croissance
Le Cameroun s’étend sur plus de 47 millions d’hectares de superficie. Lorsqu’on exclut les zones protégées et les zones non cultivables, notre pays dispose d’une grande surface arable, soit plus de 17 millions d’hectares de terres réparties dans les 10 Régions. Ceci représente alors environ 36% (un tiers environ) du territoire national. A titre de comparaison, les Etats-Unis cultivent sur 430 mi…",14 juin,12 ,
Cabral LIBII Officiel,17 ,"125
125","Bientôt nous entrons dans les 90 jours d""avant élection. Laissons les a priori et autres attaques personnelles. Au boulot! Convainquons nos compatriotes par nos offres!",13 juin,10 ,
Cabral LIBII Officiel,9 ,"95
95","Dans les prochains jours, ce sera la convocation du corps électoral. Nous attendons dans la sérénité et le travail politique. 2018 je le dis encore, marquera un tournant historique. Le champ politique ne sera plus jamais le même. Inscrivons-nous sur les listes électorales. Peaufinons nos candidatures et/ou notre stratégie de surveillance des votes. Donnons un peu de notre argent. En démocratie, c""est le peuple qui décide et non la condescendance, et non le bluff, et non la tricherie, et non le mépris, et non la haine gratuite et non la violence. Ramenons de l""humanité et du plaisir dans le jeu politique.
Vos cartes d""adhérents: 699375560; www.11millioncitizens.com",6 juin,14 ,
Cabral LIBII Officiel,51 ,"178
178",COALISONS!!!!,31 mai,24 ,
Cabral LIBII Officiel,28 ,"163
163","11 Millions de Citoyens a 1 an! A genoux, à Douala (où tout a commencé) je rends grâce à Dieu et à tous les compatriotes qui m""ont accompagnés du Nord au Sud de l""Est à l""Ouest. Merci!",28 mai,18 ,
Cabral LIBII Officiel,50 ,"325
325","Courage à toi cher époux. Lorsqu""en avril 2017, Cabral me confie qu""il va répondre favorablement aux appels incessants qui lui demandaient de briguer la Magistrature Suprême, je lui ai exprimé mon angoisse. A la question de savoir s""il avait mesuré le poids de la charge qu""il s""apprêtait à poser sur ses frêles épaules, il m""a répondu qu""il ne s""agit plus de lui tout seul. Sachant l""aventure inédite, je me suis néanmoins laissée convaincre que contrairement aux apparences, …",27 mai,15 ,
Cabral LIBII Officiel,9 ,"73
73","Dans le cadre du 1er anniversaire du Mouvement 11 Millions de Citoyens, retrouvons nous en toute convivialité dès 11h (heure du Cameeroun) sur Onze Millionstv et sur CLO",26 mai,,
Cabral LIBII Officiel,25 ,"120
120","CE QUI SE PASSE À ELECAM EN CE MOMENT MÉRITE NOTRE ATTENTION ÉTROITE! (Maltraitance du personnel, machines vétustes ou défectueuses, SUBTERFUGES MULTIPLES POUR NE PLUS INSCRIRE DES CITOYENS POURTANT DE PLUS EN PLUS VOLONTAIRES, production incertaine des cartes, tensions manageriales criantes...) Tout ça n""a rien d""hasardeux. Quelque chose se produit au Cameroun...",25 mai,36 ,
Cabral LIBII Officiel,16 ,"107
107","A l""attention de tous les membres et sympathisants du Mouvement 11Millions de Citoyens!!!!",25 mai,12 ,
Cabral LIBII Officiel,29 ,"155
155","Moi je prends très au sérieux les réseaux sociaux. Car derrière les faux et vrais profils, se trouvent des humains dont bon nombre sont mes sympathisants et camarades de lutte. Alors notez bien: je n""adhèrerai à aucune coalition de salon. Il est encore temps d""organiser des primaires de l""opposition. A défaut, travaillons à une liste unique de scrutateurs.",24 mai,5 ,
Cabral LIBII Officiel,24 ,"96
96","Sous réserve des considérations politiques liées à la réserve diplomatique dans un contexte ponctué des conditionnalités d""assistanat militaire et financier, je veux juste enrichir ce débat si passionné: Grâce à la 15 ème ratification par le Cameroun de la Charte Africaine de la Democratie, des Elections et la Gouvernance le 15 février 2012, ce Traité dont l""objet est inédit, entrait en vigueur. Un pays qui a souverainement souscrit à un standard international en matière démocratique et électoral, étant entendu que ce texte fait de l""alternance une norme dont la violation peut être sanctionnée, peut-il encore logiquement échapper au débat sur la d""évolution du pouvoir en excipant le Domaine Réservé ?",24 mai,2 ,
Cabral LIBII Officiel,58 ,"342
342","Il faut assister au défilé à Mokolo dans l""Extreme-nord pour comprendre les données demographiques. Une marée humaine au stade municipal sortie d""on ne sait où! Plus d""une centaine d""écoles primaires du seul arrondissement de Mokolo ayant chacune au moins 100 defilants, plus d""une centaine d""établissements du secondaire du seul arrondissement de Mokolo, ayant chacun au moins 180 défilants..Et il a fallu ne choisir que quelques-uns...C""est hallucinant! Le tout dans un Département visiblement frappé par le dénuement...Il faut faire quelque chose pour la jeunesse Camerounaise! C""est un impératif!",20 mai,46 ,
Cabral LIBII Officiel,22 ,"125
125","Mes chers compatriotes, notre Projet de société est soumis à votre jugement sur toutes les plate-formes d""échanges, depuis le 15 mai 2018.",16 mai,29 ,
Cabral LIBII Officiel,5 ,"77
77","Un encouragement à ces jeunes bénévoles informaticiens qui sont au four et au moulin pour rétablir la sécurité de notre site Internet qui a fait l""objet d""un pi…",16 mai,12 ,
Cabral LIBII Officiel,47 ,"255
255",,14 mai,104 ,
Cabral LIBII Officiel,25 ,"195
195","Je relèverai et j""harmoniserai l""âge de départ à la retraite à 62 ans pour tous les fonctionnaires et agents publics. Cela permet de:
1- contribuer à résorber le sous-encadrement administratif (les vieux n""occupent pas les places des jeunes, c""est l""Etat qui ne recrute pas et ne responsabilise pas les jeunes )
2- tirer profit de l""expérience
professionnelle qui est à son firmament et faciliter la transmission inter-generationnelle
3- étoffer le nombre de cotisants pour n…",14 mai,22 ,
